Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
lewd,LOOD,Adjective,Lustful; obscene; indecent,They found his lewd stories objectionable.,"obscene, indecent, vulgar, lascivious","decent, modest, chaste, proper","Old English laewed (lay, unlearned); meaning shifted to 'lustful'"
lexicographer,lek-sih-KOG-ruh-fer,Noun,Compiler of a dictionary,The new dictionary is the work of many lexicographers who spent years compiling and editing the work.,"dictionary maker, wordsmith, linguist",N/A,Greek lexikon (of words) + graphein (to write)
lexicon,LEK-sih-kon,Noun,Dictionary; vocabulary,I cannot find this word in any lexicon in the library.,"dictionary, glossary, vocabulary, wordbook",N/A,"Greek lexikon, from lexis (word), from legein (to speak)"
liability,ly-uh-BIL-ih-tee,Noun,Drawback; debts; legal responsibility,Her lack of an extensive vocabulary was a liability that she was able to overcome.,"drawback, hindrance, debt, burden","asset, advantage, benefit, strength","French liabilité, from liable, from Old French lier (to bind)"
liaison,lee-AY-zon,Noun,Contact that keeps parties in communication; go-between; secret love affair,"As the liaison between the American and British forces during World War II, the colonel had to ease tensions between the leaders of the two armies.","go-between, contact, intermediary, link",N/A,"French liaison, from lier (to bind), from Latin ligare"
libel,LY-bel,Noun,Defamatory statement; act of writing something that smears a person's character,"If Batman wrote that the Joker was a dirty, rotten, mass-murdering criminal, could the Joker sue Batman for libel?","defamation, slander, calumny, smear","praise, flattery, commendation","Latin libellus (little book), from liber (book)"
libertine,LIB-er-teen,Noun,Debauched person; one who leads an immoral life,"Although she was aware of his reputation as a libertine, she felt she could reform him.","debauchee, profligate, roué, rake","puritan, ascetic, moralist","Latin libertinus (freed slave), later 'freethinker in morals'"
libidinous,lih-BID-ih-nus,Adjective,Lustful; lewd,They objected to his libidinous behavior.,"lustful, lecherous, lascivious, wanton","chaste, celibate, pure, virtuous","Latin libidinosus, from libido (desire, lust)"
libido,lih-BEE-doh,Noun,Emotional urges behind human activity; sexual drive,The psychiatrist maintained that suppression of the libido often resulted in maladjustment and neuroses.,"desire, drive, urge, passion","repression, inhibition, abstinence","Latin libido (desire, lust), from libere (to please)"
libretto,lih-BRET-oh,Noun,Text of an opera,The composer of an opera's music is remembered more frequently than the author of its libretto.,"text, script, lyrics, book",N/A,"Italian libretto, diminutive of libro (book), from Latin liber"
licentious,ly-SEN-shus,Adjective,Amoral; lewd and lascivious; unrestrained,"Unscrupulously seducing the daughter of his host, Don Juan felt no qualms about the immorality of his licentious behavior.","immoral, lewd, dissolute, wanton","moral, virtuous, decent, chaste","Latin licentia (freedom, license), from licere (to be permitted)"
lien,LEEN,Noun,Legal claim on a property,"There was a delay before Ralph could take possession of his late uncle's home; apparently, another claimant had a lien on the estate.","claim, charge, mortgage, encumbrance",N/A,"Old French lien (bond), from Latin ligamen (tie)"
ligneous,LIG-nee-us,Adjective,Like wood,"Petrified wood may be ligneous in appearance, but it is stonelike in composition.","woody, wood-like, timber-like","fleshy, soft, non-woody","Latin ligneus, from lignum (wood)"
lilliputian,lil-ih-PYOO-shun,Adjective,Extremely small; tiny and delicate,"Tiny and delicate, the model was built on a lilliputian scale.","tiny, miniature, minuscule, diminutive","gigantic, enormous, vast, colossal","From Lilliput, the land of tiny people in Swift's Gulliver's Travels (1726)"
limber,LIM-ber,Adjective,Flexible; supple,Hours of ballet classes kept him limber.,"flexible, supple, pliable, lithe","stiff, rigid, inflexible, taut",Origin uncertain; possibly from limb
limbo,LIM-boh,Noun,Region near heaven or hell where certain souls are kept; a prison (slang),Among the divisions of Hell are Purgatory and Limbo.,"purgatory, uncertainty, oblivion, suspense","heaven, paradise, certainty","Latin limbus (border, edge), referring to the border of Hell"
limn,LIM,Verb,To draw; outline; describe,"Paradoxically, the more realistic the details this artist chooses, the better able she is to limn her fantastic, other-worldly landscapes.","draw, sketch, portray, depict, describe","distort, blur, obscure","Old French luminer, from Latin luminare (to illuminate)"
limpid,LIM-pid,Adjective,Clear; transparent,A limpid stream ran through his property.,"clear, transparent, pellucid, crystal-clear","murky, turbid, cloudy, opaque","Latin limpidus (clear), related to lympha (water)"
lineage,LIN-ee-ij,Noun,Descent; ancestry,He traced his lineage back to Mayflower days.,"ancestry, descent, heritage, pedigree",N/A,"Old French lignage, from ligne (line), from Latin linea"
lineaments,LIN-ee-uh-ments,Noun,"Features, especially of the face",She quickly sketched the lineaments of his face.,"features, contours, outline, profile",N/A,"Latin lineamentum (line, feature), from linea (line)"
linger,LING-ger,Verb,To loiter or dawdle; continue or persist,"Hoping to see Juliet pass by, Romeo lingered outside the Capulet house for hours.","loiter, dawdle, tarry, remain, persist","hurry, hasten, depart, rush","Old English lengan (to prolong), from lang (long)"
linguistic,ling-GWIS-tik,Adjective,Pertaining to language,The modern tourist will encounter very little linguistic difficulty as English has become an almost universal language.,"verbal, lingual, language-related, philological","nonverbal, gestural","Latin lingua (tongue, language)"
lionize,LY-uh-nize,Verb,To treat as a celebrity,She enjoyed being lionized and adored by the public.,"celebrate, idolize, glorify, fête","ignore, belittle, disparage",Lion + -ize; from the fashion of treating celebrities like lions on display
liquidate,LIK-wih-dayt,Verb,To settle accounts; clear up; to eliminate,He was able to liquidate all his debts in a short period of time.,"settle, clear, eliminate, pay off","incur, accumulate, owe","Latin liquidare (to make clear), from liquidus (fluid/clear)"
list,LIST,Verb,To tilt; lean over,"That flagpole should be absolutely vertical; instead, it lists to one side.","tilt, lean, careen, heel","straighten, right",Origin uncertain; possibly Dutch lijsten
listless,LIST-les,Adjective,Lacking in spirit or energy,We had expected her to be full of enthusiasm and were surprised by her listless attitude.,"lethargic, languid, spiritless, apathetic","energetic, enthusiastic, lively, vibrant","Middle English liste (desire, pleasure) + -less"
litany,LIT-uh-nee,Noun,Supplicatory prayer; a long recitation,"On this solemn day, the congregation responded to the prayers of the priest during the litany with fervor and intensity.","prayer, petition, recitation, supplication",N/A,"Greek litaneia, from litaneuein (to pray), from lite (prayer)"
lithe,LYTHE,Adjective,Flexible; supple; graceful,Her figure was lithe and willowy.,"supple, flexible, nimble, agile","stiff, rigid, inflexible, clumsy","Old English lithe (gentle, mild, flexible)"
litigation,lit-ih-GAY-shun,Noun,Lawsuit; legal proceeding,Try to settle this amicably; I do not want to start litigation.,"lawsuit, legal action, suit, proceedings","settlement, agreement, arbitration","Latin litigatio, from litigare (to dispute), from lis (lawsuit)"
litotes,LY-toh-teez,Noun,Understatement for emphasis,"To say 'He little realizes,' when we mean that he does not realize at all, is an example of the kind of understatement we call litotes.","understatement, meiosis","hyperbole, exaggeration, overstatement","Greek litotes, from litos (plain, simple)"
livid,LIV-id,Adjective,Lead-colored; black and blue; ashen; enraged,His face was so livid with rage that we were afraid that he might have an attack of apoplexy.,"furious, enraged, pallid, ashen, bruised","calm, composed, pale (in the bruise sense)","Latin lividus (bluish), from livere (to be bluish)"
loath,LOHTH,Adjective,Reluctant; disinclined,Romeo and Juliet were both loath for him to go.,"reluctant, unwilling, disinclined, averse","eager, willing, keen, enthusiastic","Old English lath (hostile, hateful)"
loathe,LOHTH,Verb,To detest; to feel intense aversion,"Booing and hissing, the audience showed how much they loathed the villain.","detest, abhor, despise, hate","love, adore, admire, cherish","Old English lathian, from lath (hateful)"
lode,LOHD,Noun,Metal-bearing vein in rock,"If this lode that we have discovered extends for any distance, we have found a fortune.","vein, seam, deposit, ore",N/A,"Old English lad (way, course)"
lofty,LAWF-tee,Adjective,Very high; elevated; haughty,"Though Barbara Jordan's fellow students used to tease her about her lofty ambitions, she rose to hold one of the highest positions in the land.","elevated, towering, exalted, noble","lowly, humble, modest, base","Old Norse lopt (air, sky) + -y"
log,LOG,Noun,Record of a voyage or flight; record of day-to-day activities,"Flogged two seamen today for insubordination,' wrote Captain Bligh in the Bounty's log.","record, journal, diary, ledger",N/A,Middle English logge; origin uncertain
loiter,LOY-ter,Verb,To hang around; linger,The policeman told him not to loiter in the alley.,"linger, lounge, dawdle, idle, lurk","hurry, rush, hasten, move on",Middle Dutch loteren (to wag about)
loll,LOL,Verb,To lounge about; to recline lazily,They lolled around in their chairs watching television.,"lounge, laze, recline, sprawl","work, toil, strive, stand",Middle Dutch lollen (to doze)
longevity,lon-JEV-ih-tee,Noun,Long life,"When he reached ninety, the old man was proud of his longevity.","long life, durability, endurance, permanence","brevity, mortality, short life","Latin longaevitas, from longus (long) + aevum (age)"
loom,LOOM,Verb,To appear or take shape in an enlarged or distorted form; to loom threateningly,The shadow of the gallows loomed threateningly above the small boy.,"appear, emerge, hover, tower, overshadow","disappear, recede, vanish",Low German lomen (to move slowly)
lope,LOHP,Verb,To gallop slowly,"As the horses loped along, we had an opportunity to admire the ever-changing scenery.","gallop, canter, trot, stride","trudge, plod, shuffle",Old Norse hlaupa (to leap)
loquacious,loh-KWAY-shus,Adjective,Talkative; chatty,"Though our daughter barely says a word to us these days, put a phone in her hand and see how loquacious she can be.","talkative, garrulous, verbose, chatty","taciturn, reticent, reserved, silent","Latin loquax, from loqui (to talk)"
lout,LOWT,Noun,Clumsy person; an oaf,The delivery boy is an awkward lout.,"oaf, boor, clod, lummox","gentleman, sophisticate, virtuoso","Old Norse lutr (bent, stooping)"
low,LOH,Verb,To moo,"From the hilltop, they could see the herd like ants in the distance; they could barely hear the cattle low.","moo, bellow, call",N/A,Old English hlowan (to moo)
lucid,LOO-sid,Adjective,Easily understood; clear; intelligible,Lexy makes an excellent teacher: her explanations of technical points are lucid enough for a child to grasp.,"clear, intelligible, transparent, comprehensible","obscure, confusing, murky, opaque","Latin lucidus (bright, clear), from lux (light)"
lucrative,LOO-kruh-tiv,Adjective,Profitable; money-making,He turned his hobby into a lucrative profession.,"profitable, gainful, remunerative, rewarding","unprofitable, costly, losing","Latin lucrativus, from lucrari (to gain), from lucrum (gain)"
lucre,LOO-ker,Noun,Money (often with negative connotation),"Preferring lucre to undying fame, he wrote stories of popular appeal.","money, profit, gain, riches","loss, poverty","Latin lucrum (gain, profit)"
ludicrous,LOO-dih-krus,Adjective,Laughable; trifling; ridiculous,Let us be serious; this is not a ludicrous issue.,"ridiculous, absurd, laughable, preposterous","serious, solemn, reasonable, sensible","Latin ludicrus, from ludus (game, play)"
lugubrious,luh-GOO-bree-us,Adjective,Mournful; excessively sad,The lugubrious howling of the dogs added to our sadness.,"mournful, doleful, woeful, melancholy","cheerful, joyful, light-hearted, merry","Latin lugubris, from lugere (to mourn)"
lull,LUL,Noun,Moment of calm; a temporary pause,"Not wanting to get wet, they waited under the awning for a lull in the rain.","pause, break, respite, calm, interlude","storm, turmoil, upheaval","Middle English lullen, probably imitative"
lumber,LUM-ber,Verb,To move heavily or clumsily,"Still somewhat torpid after its long hibernation, the bear lumbered through the woods.","trudge, plod, clump, shamble","glide, dart, skip, sprint","Scandinavian origin, related to Swedish lomra (to resound)"
lumen,LOO-men,Noun,Unit of light energy (one candle's worth),"In buying light bulbs, she checked not only their power, as measured in watts, but their brightness, as measured in lumens.","light unit, candela, brightness",N/A,Latin lumen (light)
luminary,LOO-mih-nair-ee,Noun,Celebrity; dignitary; a leading light,"A leading light of the American stage, Ethel Barrymore was a theatrical luminary whose name lives on.","celebrity, dignitary, notable, star","nobody, unknown, nonentity","Latin luminarius, from lumen (light)"
luminous,LOO-mih-nus,Adjective,Shining; issuing light,The sun is a luminous body.,"shining, radiant, glowing, bright","dark, dim, dull, opaque","Latin luminosus, from lumen (light)"
lunar,LOO-ner,Adjective,Pertaining to the moon,Lunar craters can be plainly seen with the aid of a small telescope.,"moon-related, celestial, crescent","solar, terrestrial","Latin lunaris, from luna (moon)"
lunge,LUNJ,Verb,To make a quick forward dive or reach; thrust,The wide receiver lunged forward to grab the football.,"thrust, dive, charge, leap, spring","retreat, recoil, withdraw","French allonger (to lengthen), from Latin longus (long)"
lurid,LOOR-id,Adjective,Wild; sensational; graphic; gruesome,Do the lurid cover stories in the Enquirer actually influence people to buy that trashy tabloid?,"sensational, graphic, shocking, garish","mild, tasteful, subtle, restrained","Latin luridus (pale yellow, ghastly), from luror (paleness)"
lurk,LURK,Verb,To stealthily lie in waiting; slink; exist unperceived,Who knows what evils lurk in the hearts of men? The Shadow knows.',"skulk, sneak, slink, prowl","appear, emerge, show, display",Middle English lurken; possibly from Low German
luscious,LUSH-us,Adjective,Pleasing to taste or smell,The ripe peach was luscious.,"delicious, delectable, savory, palatable","unpleasant, bitter, bland, distasteful","Alteration of licious, from delicious"
luster,LUS-ter,Noun,Shine; gloss,The soft luster of the silk in the dim light was pleasing.,"shine, gloss, gleam, sheen","dullness, dimness, flatness","Old French lustre, from Italian lustro, from Latin lustrare (to illuminate)"
lustrous,LUS-trus,Adjective,Shining; bright; radiant,Her large and lustrous eyes gave a touch of beauty to an otherwise drab face.,"shining, gleaming, radiant, brilliant","dull, dim, lackluster, flat",From luster + -ous
luxuriant,lug-ZHOOR-ee-ant,Adjective,Abundant; rich and splendid; fertile,Lady Godiva was completely covered by her luxuriant hair.,"abundant, lush, profuse, opulent","sparse, bare, scanty, meager","Latin luxurians, from luxuriare (to be lush), from luxus (excess)"
macabre,muh-KAH-ber,Adjective,Gruesome; grisly,The city morgue is a macabre spot for the uninitiated.,"gruesome, grisly, ghastly, horrifying","pleasant, cheerful, appealing, lovely","Old French macabre, from Danse Macabre (Dance of Death)"
mace,MAYS,Noun,Ceremonial staff; clublike medieval weapon,The Grand Marshal of the parade raised his mace to signal that it was time for the procession to begin.,"staff, club, scepter, bludgeon",N/A,"Old French mace, from Vulgar Latin mattia (club)"
macerate,MAS-er-ayt,Verb,To soften by soaking in liquid; waste away,The strawberries had been soaking in the champagne for so long that they had begun to macerate: they literally fell apart at the touch of a spoon.,"soften, steep, soak, dissolve","harden, solidify, dry","Latin macerare (to soften, steep)"
Machiavellian,mak-ee-uh-VEL-ee-un,Adjective,Crafty; double-dealing; unscrupulously scheming,I do not think he will be a good ambassador because he is not accustomed to the Machiavellian maneuverings of foreign diplomats.,"crafty, scheming, cunning, devious","honest, straightforward, sincere, candid","From Niccolò Machiavelli (1469–1527), Italian political theorist"
machinations,mak-ih-NAY-shunz,Noun,Evil schemes or plots,"Fortunately, Batman saw through the wily machinations of the Riddler and saved Gotham City from destruction.","schemes, plots, intrigues, conspiracies","honesty, sincerity, candor","Latin machinatio, from machinari (to contrive)"
maculated,MAK-yoo-lay-tid,Adjective,Spotted; stained,"Instead of writing that Gorbachev had a birthmark on his forehead, the pompous young poet sang of the former premier's maculated brow.","spotted, stained, blotched, blemished","spotless, clean, unblemished, pure","Latin maculatus, from macula (spot, stain)"
madrigal,MAD-rih-gul,Noun,Pastoral song,Her program of folk songs included several madrigals that she sang to the accompaniment of a lute.,"song, ballad, pastoral, air",N/A,"Italian madrigale; origin uncertain, possibly Latin matricale (simple)"
maelstrom,MAYL-strum,Noun,Whirlpool; turbulent situation,The canoe was tossed about in the maelstrom.,"whirlpool, vortex, turbulence, chaos","calm, stillness, order, tranquility","Dutch maelstroom, from malen (to grind) + stroom (stream)"
militant,MIL-ih-tuhnt,adjective,"aggressively active in pursuit of a cause, especially political",The militant wing of the movement favored confrontation over negotiation.,"aggressive, combative","peaceful, passive","Latin ""militare"" (to serve as a soldier)"
militate,MIL-ih-tayt,verb,to have a significant influence against something,His history of unreliability militated against his chances of a promotion.,"work against, weigh against","support, favor","Latin ""militare"" (to serve as a soldier)"
millennium,mih-LEN-ee-uhm,noun,a period of one thousand years; a hoped-for time of peace and prosperity,Historians debated what the new millennium would bring for global politics.,thousand-year period,n/a,"Latin ""mille"" (thousand) + ""annus"" (year)"
mimicry,MIM-ih-kree,noun,"the act of imitating someone or something, often closely",The comedian's mimicry of the president's voice had the audience roaring.,"imitation, impersonation",n/a,"Greek ""mimos"" (imitator)"
minatory,MIN-uh-tor-ee,adjective,threatening; menacing,The minatory tone of the letter left no doubt about the consequences of refusal.,"threatening, menacing","reassuring, comforting","Latin ""minari"" (to threaten)"
mincing,MIN-sing,adjective,"affectedly delicate or precise, especially in movement or speech","He crossed the stage with exaggerated, mincing steps that drew laughter.","affected, prim","natural, unaffected","from ""mince,"" Old French ""mincier"" (to cut small)"
minion,MIN-yuhn,noun,"a loyal follower or subordinate, often used dismissively",The villain barked orders at his minions before storming off.,"underling, lackey","leader, superior","French ""mignon"" (darling, favorite)"
minuscule,MIN-uh-skyool,adjective,extremely small,The odds of winning the lottery are minuscule compared to other forms of investment.,"tiny, miniscule","enormous, huge","Latin ""minuscula (littera)"" (small letter)"
minute,my-NOOT,adjective,extremely small in size or detail,The watchmaker adjusted the minute gears with a tiny pair of tweezers.,"tiny, infinitesimal","huge, substantial","Latin ""minutus"" (made small)"
minutiae,mih-NOO-shee-ay,noun,"small, precise details, often considered unimportant",He got so caught up in the minutiae of the contract that he missed the bigger picture.,fine details,"broad strokes, generalities","Latin ""minutiae,"" from ""minutus"" (small)"
mirage,mih-RAHZH,noun,"an optical illusion, especially one caused by heat; a false hope",The desperate traveler mistook the shimmering mirage for a lake.,"illusion, fantasy",reality,"French ""mirage,"" from ""mirer"" (to look at)"
mire,MYR,verb,"to become stuck or entangled, as in mud",Negotiations became mired in disagreements over minor details.,"entangle, bog down","free, extricate","Old Norse ""myrr"" (swamp)"
mirth,MERTH,noun,amusement or laughter; merriment,The clown's antics filled the children's ward with mirth.,"merriment, glee","sorrow, gloom","Old English ""myrgth"" (joy)"
misadventure,mis-ad-VEN-cher,noun,an unlucky or unfortunate incident,"Their road trip was full of small misadventures, from flat tires to lost luggage.","mishap, misfortune",good fortune,"""mis-"" + ""adventure"""
misanthrope,MIS-uhn-throhp,noun,a person who dislikes or distrusts humanity in general,The reclusive misanthrope avoided parties and crowds whenever possible.,hater of humankind,"philanthropist, humanitarian","Greek ""misos"" (hatred) + ""anthropos"" (mankind)"
misapprehension,mis-ap-rih-HEN-shun,noun,a misunderstanding or mistaken belief,"Under the misapprehension that the meeting had been canceled, he stayed home.","misunderstanding, confusion","comprehension, clarity","""mis-"" + ""apprehension"""
miscellany,MIS-uh-lay-nee,noun,"a mixed collection of various items, especially writings","The anthology was a miscellany of essays, poems, and short stories.","assortment, medley",n/a,"Latin ""miscellanea,"" from ""miscere"" (to mix)"
mischance,mis-CHANS,noun,bad luck; an unfortunate event,"By sheer mischance, the package arrived a day after the deadline.","misfortune, bad luck","good fortune, luck","""mis-"" + ""chance"""
misconstrue,mis-kuhn-STROO,verb,to interpret incorrectly,She worried her sarcastic comment might be misconstrued as a genuine insult.,"misinterpret, misread",understand correctly,"""mis-"" + ""construe"""
miscreant,MIS-kree-uhnt,noun,a person who behaves badly or commits crimes,Local miscreants had been tagging the underpass with graffiti for months.,"wrongdoer, scoundrel",n/a,"Old French ""mescreant"" (unbeliever)"
misdemeanor,mis-dih-MEE-ner,noun,"a minor crime, less serious than a felony",He was charged with a misdemeanor for the minor traffic violation.,minor offense,felony,"""mis-"" + ""demeanor"""
miserly,MY-zer-lee,adjective,extremely stingy with money,His miserly habits made him reluctant to even tip the delivery driver.,"stingy, tightfisted","generous, openhanded","from ""miser,"" Latin ""miser"" (wretched)"
misgivings,mis-GIV-ingz,noun,feelings of doubt or apprehension,"Despite her misgivings, she signed the contract before the deadline.","doubts, reservations","confidence, certainty","""mis-"" + ""giving"""
mishap,MIS-hap,noun,"an unlucky accident, usually minor",A small mishap with the printer delayed the morning's presentation.,"accident, mistake",n/a,"""mis-"" + ""hap"" (chance)"
misnomer,mis-NOH-mer,noun,a name or term that is inaccurate or misleading,"Calling the dish ""a small plate"" was a misnomer, given its enormous portion.",misleading name,n/a,"Old French ""mesnommer"" (to misname)"
misogamy,mih-SOG-uh-mee,noun,a hatred of marriage,His misogamy stemmed less from cynicism than from watching his parents' painful divorce.,hatred of marriage,n/a,"Greek ""misos"" (hatred) + ""gamos"" (marriage)"
misogynist,mih-SOJ-uh-nist,noun,a person who dislikes or distrusts women,The film's screenplay was criticized for giving its misogynist villain too much sympathy.,woman-hater,n/a,"Greek ""misos"" (hatred) + ""gyne"" (woman)"
missile,MIS-uhl,noun,an object or weapon thrown or projected toward a target,Engineers tested the new missile's guidance system under simulated combat conditions.,projectile,n/a,"Latin ""mittere"" (to send)"
missive,MIS-iv,noun,a formal letter or written message,The ambassador received an urgent missive from the capital overnight.,"letter, dispatch",n/a,"Latin ""mittere"" (to send)"
mite,MYT,noun,a tiny insect-like creature; a very small amount or coin,Dust mites thrive in old mattresses and upholstered furniture.,tiny creature; small amount,n/a,"Old English ""mite,"" related to ""small"""
mitigate,MIT-ih-gayt,verb,to make less severe or intense,Planting trees along the highway helped mitigate noise from passing traffic.,"alleviate, lessen","aggravate, worsen","Latin ""mitigare"" (to soften)"
mnemonic,nih-MON-ik,adjective,relating to or aiding memory,Students used a mnemonic device to remember the order of the planets.,memory-aiding,n/a,"Greek ""mnemonikos,"" from ""mneme"" (memory)"
mobile,MOH-buhl,adjective,capable of moving or being moved easily,The mobile clinic traveled between rural towns offering free checkups.,"movable, portable","fixed, stationary","Latin ""mobilis"" (movable)"
mock,MOK,verb,to ridicule or imitate scornfully,The older kids mocked his accent until he stopped speaking up in class.,"ridicule, deride","praise, admire","Old French ""mocquer"" (to deride)"
mode (style),MOHD,noun,a current fashion or prevailing style,Bold colors were very much the mode that season.,"fashion, trend",n/a,"Latin ""modus"" (manner)"
mode (prevailing style),MOHD,noun,a manner or way of doing something,He switched to vacation mode the moment the plane landed.,"manner, way",n/a,"Latin ""modus"" (manner)"
modicum,MOD-ih-kuhm,noun,a small amount of something,Even a modicum of effort would have improved his grade significantly.,"small amount, bit","abundance, surplus","Latin ""modicus"" (moderate)"
modish,MOH-dish,adjective,fashionable; stylish,The boutique sold modish accessories that sold out within days.,"trendy, chic","outdated, unfashionable","from ""mode"" + ""-ish"""
modulate,MOD-yuh-layt,verb,to adjust the level or tone of something; to shift musical key,She learned to modulate her voice so it wouldn't carry through the thin office walls.,"adjust, regulate",n/a,"Latin ""modulari"" (to measure, regulate)"
mogul,MOH-guhl,noun,"a powerful or influential person, especially in business",The media mogul owned several major newspapers and television networks.,"tycoon, magnate",n/a,"from ""Mughal,"" the powerful Mughal emperors of India"
molecule,MOL-uh-kyool,noun,the smallest unit of a substance retaining its chemical properties,Water molecules consist of two hydrogen atoms and one oxygen atom.,n/a,n/a,"Latin ""molecula"" (small mass)"
mollify,MOL-ih-fy,verb,to soothe or calm anger,The manager offered a refund to mollify the frustrated customer.,"appease, pacify","provoke, anger","Latin ""mollis"" (soft) + ""facere"" (to make)"
mollycoddle,MOL-ee-kod-uhl,verb,to pamper or indulge excessively,"His parents tended to mollycoddle him, doing chores he was perfectly capable of doing himself.","pamper, coddle","neglect, toughen up","""molly"" (a pet name) + ""coddle"""
molt,MOHLT,verb,"to shed old feathers, skin, or hair periodically",The snake molted its skin twice during the warmer months.,"shed, slough",n/a,"Latin ""mutare"" (to change)"
molten,MOHL-tuhn,adjective,"melted, especially by intense heat",Molten lava crept slowly toward the abandoned village.,"melted, liquefied","solid, frozen","past participle of ""melt"""
momentous,moh-MEN-tuhs,adjective,"of great importance, especially because of future impact",Signing the peace treaty was a momentous occasion for both nations.,"significant, historic","trivial, insignificant","Latin ""momentum"" (movement, importance)"
momentum,moh-MEN-tuhm,noun,the force or speed of a moving object; impetus,The campaign lost momentum after its main spokesperson resigned.,"impetus, drive",n/a,"Latin ""momentum"" (movement)"
monarchy,MON-er-kee,noun,"a form of government headed by a single ruler, often hereditary",Several European nations retain a monarchy alongside a modern parliament.,"kingdom, sovereign rule","republic, democracy","Greek ""monos"" (alone) + ""archein"" (to rule)"
monastic,muh-NAS-tik,adjective,relating to monks or a secluded religious life,"He gave up his career to live a quiet, monastic existence in the mountains.","reclusive, ascetic","worldly, social","Greek ""monos"" (alone)"
monetary,MON-ih-ter-ee,adjective,relating to money or currency,The fine carried both a monetary penalty and a temporary suspension.,"financial, fiscal",n/a,"Latin ""moneta"" (mint, money)"
monochromatic,mon-uh-kroh-MAT-ik,adjective,having only one color or shades of one color,The designer chose a monochromatic palette of soft grays for the lobby.,single-colored,multicolored,"Greek ""monos"" (one) + ""chroma"" (color)"
monolithic,mon-uh-LITH-ik,adjective,massive and uniform; resistant to change or division,Critics described the agency as a monolithic bureaucracy resistant to any reform.,"uniform, rigid","fragmented, diverse","Greek ""monos"" (single) + ""lithos"" (stone)"
monotheism,MON-oh-thee-iz-uhm,noun,the belief in a single god,"Judaism, Christianity, and Islam are all rooted in monotheism.",belief in one god,polytheism,"Greek ""monos"" (one) + ""theos"" (god)"
monotony,muh-NOT-uh-nee,noun,a tedious lack of variety; sameness,The monotony of the assembly line made the long shifts feel endless.,"tedium, sameness","variety, excitement","Greek ""monos"" (one) + ""tonos"" (tone)"
monumental,mon-yoo-MEN-tuhl,adjective,"of great size, importance, or impact",Finishing the dictionary was a monumental achievement that took the team a decade.,"massive, momentous","trivial, minor","Latin ""monumentum"" (memorial)"
moodiness,MOO-dee-nis,noun,"a tendency toward shifting, often gloomy emotional states","Her teenage son's moodiness worried her, though she knew it was probably typical.","sullenness, irritability","even temper, cheerfulness","from ""moody,"" Old English ""modig"""
moratorium,mor-uh-TOR-ee-uhm,noun,a temporary suspension of an activity or law,The city declared a moratorium on new construction permits until the review was complete.,"suspension, freeze",resumption,"Latin ""morari"" (to delay)"
morbid,MOR-bid,adjective,having an unhealthy interest in death or unpleasant subjects; relating to disease,His morbid curiosity drew him to true-crime podcasts about unsolved murders.,"gruesome, macabre","wholesome, cheerful","Latin ""morbus"" (disease)"
mordant,MOR-duhnt,adjective,sharply sarcastic or biting in wit,The critic's mordant review left the playwright reeling for weeks.,"biting, caustic","gentle, mild","Latin ""mordere"" (to bite)"
mores,MOR-ayz,noun,the customs and accepted behaviors of a particular society,Visiting a new country requires learning its social mores to avoid unintentional offense.,"customs, conventions",n/a,"Latin ""mos"" (custom)"
moribund,MOR-ih-buhnd,adjective,approaching death or extinction; lacking vitality,The once-thriving newspaper had become a moribund publication with dwindling readers.,"dying, declining","thriving, vibrant","Latin ""mori"" (to die)"
morose,muh-ROHS,adjective,"sullen, gloomy, and ill-tempered",He grew morose after losing the championship match.,"sullen, gloomy","cheerful, jovial","Latin ""morosus"" (peevish, particular about habits)"
mortician,mor-TISH-uhn,noun,a person who prepares the dead for burial; an undertaker,The mortician carefully prepared the family's loved one for the viewing.,"undertaker, funeral director",n/a,"Latin ""mors"" (death)"
mortify,MOR-tih-fy,verb,to cause to feel deeply embarrassed or ashamed,Tripping on stage in front of the entire school mortified her for weeks.,"humiliate, embarrass","please, flatter","Latin ""mors"" (death) + ""facere"" (to make)"
mosaic,moh-ZAY-ik,noun,a picture or design made from small colored pieces,The ancient floor mosaic depicted scenes from Greek mythology.,tiled artwork,n/a,"Greek ""mouseios"" (of the muses)"
mote,MOHT,noun,a tiny speck of dust or other particle,A single mote of dust drifted through the beam of sunlight.,"speck, particle",n/a,"Old English ""mot"" (speck)"
motif,moh-TEEF,noun,"a recurring theme or element in a work of art, music, or literature",Loneliness is a recurring motif throughout the author's early novels.,recurring theme,n/a,"French ""motif,"" from Latin ""movere"" (to move)"
motility,moh-TIL-ih-tee,noun,the ability to move spontaneously,Reduced sperm motility can be a factor in some cases of infertility.,ability to move,n/a,"Latin ""motus"" (movement)"
motley,MOT-lee,adjective,"made up of many different, often clashing elements",A motley crew of volunteers showed up to help rebuild after the storm.,"mixed, varied","uniform, matching","Middle English ""motteley,"" origin uncertain"
mottled,MOT-uhld,adjective,marked with spots or patches of different colors,The old photograph had become mottled and faded with age.,"spotted, blotched","uniform, solid","origin uncertain, possibly related to ""motley"""
mountebank,MOWN-tih-bank,noun,"a person who deceives others, especially through false claims; a charlatan","The traveling mountebank sold ""miracle tonics"" that cured nothing at all.","charlatan, fraud",n/a,"Italian ""montambanco"" (one who mounts a bench to sell wares)"
