Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
caucus,KAW-kus,noun,private meeting of members of a party to select officers or determine policy,"At the opening of Congress, the Democratic Party held a caucus to elect the majority leader.","assembly, meeting, conclave","general election, public meeting",Possibly Algonquian 'cau-cau-as'u' (one who advises)
caulk,KAWK,verb,to make watertight by plugging seams,"When water from the shower leaked into the basement, we knew it was time to caulk the tiles.","seal, plug, waterproof","open, breach, unseal","Old North French 'cauquer' (to press down), from Latin 'calcare'"
causal,KAW-zul,adjective,implying a cause-and-effect relationship,The psychologist maintained there was a causal relationship between childhood experiences and adult personality.,"causative, relating, consequential","coincidental, unrelated, independent","Latin 'causalis', from 'causa' (cause)"
caustic,KAW-stik,adjective,burning; sarcastically biting,The critic's caustic remarks angered the hapless actors who were the subjects of his sarcasm.,"biting, scathing, sarcastic","mild, gentle, complimentary","Greek 'kaustikos' (capable of burning), from 'kaiein' (to burn)"
cauterize,KAW-ter-yz,verb,burn with hot iron or caustic,"In order to prevent infection, the doctor cauterized the wound.","sear, burn, brand","cool, soothe, heal","Greek 'kauterion' (branding iron), from 'kaiein' (to burn)"
cavalcade,KAV-ul-kade,noun,procession; parade,"As described by Chaucer, the cavalcade of Canterbury pilgrims was a motley group.","procession, parade, caravan","single traveler, individual","Italian 'cavalcata', from 'cavalcare' (to ride on horseback)"
cavalier,kav-ah-LEER,adjective,casual and offhand; arrogant,Marcia felt insulted by Mark's cavalier dismissal of her suggestion.,"arrogant, dismissive, haughty","respectful, attentive, careful","French 'cavalier', from Italian 'cavaliere' (horseman, knight)"
cavil,KAV-ul,verb,make frivolous objections,I dislike the way you cavil about unimportant details.,"nitpick, quibble, carp","agree, accept, approve","Latin 'cavillari' (to jeer, quibble)"
cede,SEED,verb,yield title or territory to; surrender formally,The descendants of England's Henry II were forced to cede their French territories to the King of France.,"yield, surrender, relinquish","retain, keep, seize","Latin 'cedere' (to go, give way)"
celerity,seh-LAIR-ih-tee,noun,speed; rapidity,Hamlet resented his mother's celerity in remarrying within a month after his father's death.,"speed, swiftness, alacrity","slowness, delay, sluggishness","Latin 'celeritas', from 'celer' (swift)"
celestial,seh-LES-chul,adjective,heavenly,She spoke of the celestial joys that awaited virtuous souls in the hereafter.,"heavenly, divine, ethereal","earthly, mundane, terrestrial","Latin 'caelestis', from 'caelum' (sky, heaven)"
celibate,SEL-ih-bat,adjective,abstaining from sexual intercourse; unmarried,Recent studies maintain he was celibate throughout his life.,"chaste, abstinent, unmarried","married, licentious, promiscuous","Latin 'caelibatus', from 'caelebs' (unmarried)"
censor,SEN-ser,noun,overseer of morals; person who eliminates inappropriate matter,Soldiers dislike having their mail read by a censor.,"overseer, monitor, reviewer","publisher, liberator","Latin 'censor' (Roman magistrate), from 'censere' (to assess)"
censorious,sen-SOR-ee-us,adjective,critical,Censorious people delight in casting blame.,"critical, faultfinding, judgmental","complimentary, approving, lenient","Latin 'censorius', from 'censor'"
censure,SEN-shur,verb,blame; criticize,The senator was censured for behavior inappropriate to a member of Congress.,"blame, condemn, rebuke","praise, commend, approve","Latin 'censura' (judgment), from 'censere' (to assess)"
centaur,SEN-tor,noun,"mythical figure, half man and half horse",I was particularly impressed by the statue of the centaur in the Roman Hall of the museum.,"mythical creature, hybrid","human, mortal","Greek 'kentauros', origin disputed"
centigrade,SEN-tih-grade,adjective,denoting a widely used temperature scale (basically same as Celsius),"On the centigrade thermometer, the freezing point of water is zero degrees.","Celsius, metric temperature",Fahrenheit,"Latin 'centum' (hundred) + 'gradus' (step, degree)"
centrifugal,sen-TRIF-yoo-gul,adjective,radiating; departing from the center,Many automatic drying machines remove excess moisture from clothing by centrifugal force.,"outward, radiating, diverging","centripetal, inward, converging",Latin 'centrum' (center) + 'fugere' (to flee)
centrifuge,SEN-trih-fyooj,noun,machine that separates substances by whirling,"At the dairy, we employ a centrifuge to separate cream from milk.","separator, spinner","mixer, blender",Latin 'centrum' (center) + 'fugere' (to flee)
centripetal,sen-TRIP-ih-tul,adjective,tending toward the center,Does centripetal force or the force of gravity bring orbiting bodies to the earth's surface?,"inward, centralizing, converging","centrifugal, outward, diverging",Latin 'centrum' (center) + 'petere' (to seek)
centurion,sen-TYOOR-ee-un,noun,Roman army officer,"Because he was in command of a company of one hundred soldiers, he was called a centurion.","commander, officer, captain","private, soldier, infantryman","Latin 'centurio', from 'centuria' (century, unit of 100)"
cerebral,seh-REE-brul,adjective,pertaining to the brain or intellect,The content of philosophical works is cerebral in nature and requires much thought.,"intellectual, mental, cognitive","physical, emotional, instinctive",Latin 'cerebrum' (brain)
cerebration,ser-eh-BRAY-shun,noun,thought,Mathematics problems sometimes require much cerebration.,"thought, cogitation, reflection","ignorance, instinct, impulse",Latin 'cerebrum' (brain)
ceremonious,ser-eh-MOH-nee-us,adjective,marked by formality,Ordinary dress would be inappropriate at so ceremonious an affair.,"formal, stately, dignified","informal, casual, simple",Latin 'caerimonia' (religious rite)
certitude,SER-tih-tood,noun,certainty,"Though there was no certitude of his getting the job, Lou thought he had a good chance of being hired.","certainty, assurance, conviction","doubt, uncertainty, skepticism","Latin 'certitudo', from 'certus' (certain)"
cessation,seh-SAY-shun,noun,stoppage,The airline's employees threatened a cessation of all work if management failed to meet their demands.,"halt, stop, end","continuation, resumption, beginning","Latin 'cessatio', from 'cessare' (to stop)"
cession,SESH-un,noun,yielding to another; ceding,The cession of Alaska to the United States is discussed in this chapter.,"surrender, relinquishment, transfer","retention, seizure, acquisition","Latin 'cessio', from 'cedere' (to yield)"
chafe,CHAYF,verb,warm by rubbing; make sore by rubbing,"Chilled, he chafed his hands before the fire.","rub, irritate, abrade","soothe, cool, calm","Old French 'chaufer' (to warm), from Latin 'calefacere'"
chaff,CHAF,noun,worthless products of an endeavor,"When you separate the wheat from the chaff, be sure you throw out the chaff.","refuse, waste, husks","wheat, grain, substance","Old English 'ceaf' (chaff, husk)"
chaffing,CHAF-ing,adjective,bantering; joking,"Sometimes Chad's flippant, chaffing remarks annoy us.","bantering, teasing, joshing","serious, earnest, solemn",Old English 'ceaf' (chatter)
chagrin,shah-GRIN,noun,vexation caused by humiliation or injured pride; disappointment,Doug felt their visit would bring him nothing but chagrin.,"embarrassment, mortification, humiliation","pride, satisfaction, joy","French 'chagrin' (grief, vexation), origin uncertain"
chalice,CHAL-is,noun,goblet; consecrated cup,Many ornately decorated chalices made by the most famous European goldsmiths were on display.,"goblet, cup, grail","mug, tumbler, glass","Old French 'calice', from Latin 'calix' (cup)"
chameleon,kah-MEEL-yun,noun,lizard that changes color in different situations,"Like the chameleon, he assumed the political coloration of every group he met.","shapeshifter, opportunist, turncoat","consistent person, steadfast character","Greek 'khamaileon', from 'khamai' (on the ground) + 'leon' (lion)"
champion,CHAM-pee-un,verb,support militantly,"Martin Luther King, Jr., won the Nobel Peace Prize because he championed the oppressed in their struggle for equality.","support, advocate, defend","oppose, abandon, betray",Old French 'champion' (combatant in a duel)
chaotic,kay-OT-ik,adjective,in utter disorder,He tried to bring order into the chaotic state of affairs.,"disordered, tumultuous, anarchic","orderly, organized, systematic","Greek 'khaos' (void, abyss)"
charisma,kah-RIZ-mah,noun,divine gift; great popular charm or appeal,Political commentators have deplored the importance of a candidate's charisma in television campaigning.,"charm, appeal, magnetism","repulsiveness, dullness, apathy","Greek 'kharisma' (gift of grace), from 'kharis' (grace)"
charlatan,SHAR-lah-tan,noun,quack; pretender to knowledge,Dorothy and friends were sure they'd been duped by a charlatan.,"quack, fraud, imposter","expert, authority, specialist","Italian 'ciarlatano', from 'ciarlare' (to chatter)"
chary,CHAIR-ee,adjective,cautious; sparing or restrained about giving,DeWitt was as chary of investing money in junk bonds as paying people unnecessary compliments.,"cautious, wary, reluctant","reckless, generous, careless","Old English 'cearig' (sorrowful, careful)"
chasm,KAZ-um,noun,abyss,They could not see the bottom of the chasm.,"abyss, gulf, void","bridge, connection, surface",Greek 'khasma' (gaping hollow)
chassis,CHAS-ee,noun,framework and working parts of an automobile,The owner discovered that the body had been ruined but that the chassis was unharmed.,"framework, frame, undercarriage","body, exterior, shell","French 'châssis' (frame), from Latin 'capsa' (box)"
chaste,CHAYST,adjective,pure; virginal; modest,"To ensure that his bride would stay chaste while he was off to the wars, the crusader had her fitted out with a chastity belt.","pure, virtuous, modest","promiscuous, immoral, licentious","Latin 'castus' (pure, morally clean)"
chasten,CHAY-sun,verb,discipline; punish in order to correct,"Whom God loves, God chastens.","discipline, correct, restrain","pamper, indulge, spoil","Old English 'ceastan', from Latin 'castigare' (to chastise)"
chastise,chas-TYZ,verb,punish,I must chastise you for this offense.,"punish, discipline, castigate","reward, praise, commend","Middle English 'chastisen', from Old French 'chastier'"
chauvinist,SHOW-vin-ist,noun,blindly devoted patriot; zealous adherent of a group or cause,"A chauvinist cannot recognize any faults in his country, no matter how flagrant they may be.","jingoist, nationalist, zealot","pacifist, cosmopolitan, moderate","From Nicolas Chauvin, fictional French soldier devoted to Napoleon"
checkered,CHEK-erd,adjective,marked by changes in fortune,During his checkered career he had lived in palatial mansions and in dreary boardinghouses.,"varied, uneven, mixed","steady, consistent, uniform",From checkered pattern of light and dark squares
cherubic,cheh-ROO-bik,adjective,angelic; innocent-looking,"With her cheerful smile and rosy cheeks, she was a particularly cherubic child.","angelic, innocent, sweet","devilish, sinister, wicked",Hebrew 'kerub' (angel)
chicanery,shih-KAY-ner-ee,noun,trickery; deception,Those sneaky lawyers in general depended on chicanery to win the case.,"trickery, deception, fraud","honesty, integrity, fairness","French 'chicaner' (to quibble, use tricks)"
chide,CHYD,verb,scold,Grandma began to chide Steven for his lying.,"scold, rebuke, reprimand","praise, commend, encourage","Old English 'cidan' (to complain, quarrel)"
chimerical,ky-MEER-ih-kul,adjective,fantastically improbable; highly unrealistic,Ted's chimerical scheme to make a fortune by raising ermines in his backyard proved a dismal failure.,"fantastical, unrealistic, illusory","realistic, practical, achievable",Greek 'Chimaira' (fire-breathing monster)
chisel,CHIZ-ul,verb,swindle or cheat; cut with a chisel,That crook chiseled me out of a hundred dollars.,"swindle, cheat, defraud","compensate, repay, reward","Old French 'cisel', from Latin 'caedere' (to cut)"
chivalrous,SHIV-ul-rus,adjective,courteous; faithful; brave,Chivalrous behavior involves noble words and good deeds.,"courteous, gallant, honorable","rude, cowardly, dishonest","Old French 'chevalerie', from 'chevalier' (knight)"
choleric,KOL-er-ik,adjective,hot-tempered,"His flushed, angry face indicated a choleric nature.","hot-tempered, irascible, irritable","calm, even-tempered, serene","Greek 'kholerikos', from 'khole' (bile, anger)"
choreography,kor-ee-OG-rah-fee,noun,art of representing dances in written symbols; arrangement of dances,Merce Cunningham has begun to use a computer in designing choreography.,"dance arrangement, staging, movement","improvisation, randomness",Greek 'khoreia' (dance) + 'graphein' (to write)
chortle,CHOR-tul,verb,chuckle with delight,"When she heard that her rival had just been jailed for embezzlement, she chortled with joy.","chuckle, laugh, snicker","weep, sob, lament",Coined by Lewis Carroll in 1872 (blend of 'chuckle' + 'snort')
chronic,KRON-ik,adjective,"long established, as a disease",The doctors were finally able to attribute his chronic headaches and nausea to traces of formaldehyde gas.,"persistent, inveterate, long-standing","acute, temporary, short-lived","Greek 'khronikos' (of time), from 'khronos' (time)"
chronicle,KRON-ih-kul,verb,report; record in chronological order,The gossip columnist was paid to chronicle the latest escapades of the socially prominent celebrities.,"record, document, narrate","suppress, ignore, omit","Greek 'khronika' (annals), from 'khronos' (time)"
churlish,CHUR-lish,adjective,boorish; rude,"Dismayed by his churlish manners at the party, the girls vowed never to invite him again.","rude, boorish, surly","polite, courteous, refined","Old English 'ceorl' (peasant, serf)"
ciliated,SIL-ee-ay-ted,adjective,having minute hairs,"The paramecium is a ciliated, one-celled animal.","hairy, ciliary, fringed","smooth, hairless, bare","Latin 'cilium' (eyelid, eyelash)"
cipher,SY-fer,noun,nonentity; worthless person or thing; secret code,She claimed her ex-husband was a total cipher and wondered why she had ever married him.,"nonentity, nobody, zero","VIP, celebrity, important person","Arabic 'sifr' (zero, empty)"
circlet,SUR-klet,noun,small ring; band,This tiny circlet is very costly because it is set with precious stones.,"ring, band, hoop","square, rectangle, line","Old French 'cerclet', diminutive of 'cercle' (circle)"
circuitous,ser-KYOO-ih-tus,adjective,roundabout,"Because of the traffic congestion on the main highways, she took a circuitous route.","roundabout, indirect, winding","direct, straight, linear","Latin 'circuitus' (a going around), from 'circuire' (to go around)"
circumlocution,ser-kum-loh-KYOO-shun,noun,indirect or roundabout expression,He was afraid to call a spade a spade and resorted to circumlocutions to avoid direct reference to his subject.,"periphrasis, verbosity, evasion","directness, conciseness, bluntness",Latin 'circum' (around) + 'locutio' (speech)
circumscribe,SUR-kum-skryb,verb,limit; confine,"Although I do not wish to circumscribe your activities, I must insist that you complete this assignment first.","limit, restrict, confine","free, liberate, expand","Latin 'circumscribere', from 'circum' (around) + 'scribere' (to write)"
circumspect,SUR-kum-spekt,adjective,prudent; cautious,"Investigating before acting, she tried always to be circumspect.","cautious, prudent, wary","reckless, careless, impulsive","Latin 'circumspectus', from 'circum' (around) + 'specere' (to look)"
circumvent,ser-kum-VENT,verb,outwit; baffle,"In order to circumvent the enemy, we will make two preliminary attacks in other sections before starting our major campaign.","outwit, bypass, evade","confront, face, comply","Latin 'circumvenire', from 'circum' (around) + 'venire' (to come)"
cistern,SIS-tern,noun,reservoir or water tank,The farmers were able to withstand the dry season by using rainwater they had stored in an underground cistern.,"reservoir, tank, basin","drain, outflow, pipe","Latin 'cisterna', from 'cista' (box, basket)"
citadel,SIT-ah-del,noun,fortress,The citadel overlooked the city like a protecting angel.,"fortress, stronghold, bastion","vulnerability, open plain","Italian 'cittadella', diminutive of 'città' (city)"
cite,SYT,verb,quote; commend,She could cite passages in the Bible from memory.,"quote, reference, mention","ignore, overlook, suppress","Latin 'citare' (to summon, urge)"
civil,SIV-ul,adjective,having to do with citizens or the state; courteous and polite,"IRS agents are civil servants, but they are not always civil to suspected tax evaders.","courteous, polite, civic","rude, uncivil, military","Latin 'civilis', from 'civis' (citizen)"
clairvoyant,klair-VOY-unt,adjective/noun,having foresight; fortuneteller,Cassandra's clairvoyant warning was not heeded by the Trojans.,"psychic, prophetic, prescient","ignorant, blind, unaware",French 'clair' (clear) + 'voyant' (seeing)
clamber,KLAM-ber,verb,climb by crawling,She clambered over the wall.,"scramble, crawl, scale","descend, fall, drop","Middle English 'clambren', from 'climb'"
clamor,KLAM-er,noun,noise,The clamor of the children at play outside made it impossible for her to take a nap.,"uproar, din, noise","silence, quiet, calm","Latin 'clamor' (shout), from 'clamare' (to cry out)"
clandestine,klan-DES-tin,adjective,secret,"After avoiding their chaperon, the lovers had a clandestine meeting.","secret, covert, furtive","open, public, overt","Latin 'clandestinus', from 'clam' (secretly)"
clangor,KLANG-er,noun,"loud, resounding noise",The blacksmith was accustomed to the clangor of hammers on steel.,"clang, din, racket","silence, quiet, hush","Latin 'clangor' (sound of a trumpet), from 'clangere' (to resound)"
clarion,KLAIR-ee-un,adjective,"shrill, trumpetlike sound",We woke to the clarion call of the bugle.,"shrill, clear, ringing","muffled, dull, muted","Old French 'clairon', from Latin 'clarus' (clear)"
claustrophobia,klaw-stroh-FOH-bee-ah,noun,fear of being locked in,His fellow classmates laughed at his claustrophobia and often threatened to lock him in his room.,fear of enclosed spaces,agoraphobia (fear of open spaces),Latin 'claustrum' (enclosed place) + Greek 'phobia' (fear)
clavicle,KLAV-ih-kul,noun,collarbone,The football player broke his clavicle during a practice scrimmage.,collarbone,"shoulder blade, scapula","Latin 'clavicula' (small key), from 'clavis' (key)"
cleave,KLEEV,verb,split or sever; cling to; remain faithful to,"With her heavy cleaver, Julia Child can cleave a whole roast duck in two.","split, sever, divide","unite, join, fuse",Old English 'cleofan' (to split)
cleft,KLEFT,noun,split,The mountain climber grasped the edge of a cleft in the sheer rockface.,"split, fissure, crack","whole, solid, unbroken","Past tense of 'cleave', Old English 'cleofan'"
clemency,KLEM-en-see,noun,disposition to be lenient; mildness,The lawyer was pleased when the case was sent to Judge Smith's chambers because Smith was noted for her clemency.,"leniency, mercy, mildness","severity, harshness, cruelty","Latin 'clementia', from 'clemens' (mild, merciful)"
cliché,klee-SHAY,noun,phrase dulled in meaning by repetition,High school compositions are often marred by such clichés as 'strong as an ox.',"platitude, truism, banality","original expression, fresh metaphor","French 'cliché' (stereotype plate), from 'clicher' (to stereotype)"
clientele,kly-en-TEL,noun,body of customers,"The rock club attracted a young, stylish clientele.","customers, patrons, following","competitors, rivals, staff","Latin 'clientela', from 'cliens' (client, dependent)"
climactic,kly-MAK-tik,adjective,relating to the highest point,"When he reached the climactic portions of the book, he could not stop reading.","culminating, pivotal, decisive","anticlimactic, minor, preliminary","Greek 'klimax' (ladder, climax)"
clique,KLEEK,noun,"small, exclusive group",Fitzgerald wished that he belonged to the clique of popular athletes and big men on campus.,"coterie, faction, in-crowd","general public, open community","French 'clique', from 'cliquer' (to click, clap)"
cloister,KLOY-ster,noun,monastery or convent,The nuns lived in the cloister.,"monastery, convent, abbey","open world, secular society","Old French 'cloistre', from Latin 'claustrum' (enclosed space)"
clout,KLOWT,noun,great influence (especially political or social),Gatsby wondered whether he had enough clout to be admitted to the exclusive club.,"influence, power, leverage","powerlessness, insignificance, weakness",Old English 'clut' (patch of cloth)
cloying,KLOY-ing,adjective,distasteful because excessive; excessively sweet or sentimental,"Disliking the cloying sweetness of standard wedding cakes, Jody and Tom chose a homemade carrot cake.","excessive, saccharine, mawkish","refreshing, subtle, understated",Old French 'encloyer' (to drive a nail into a horseshoe)
coagulate,koh-AG-yoo-layt,verb,thicken; congeal; clot,"Even after you remove the pudding from the burner, it will continue to coagulate as it stands.","congeal, clot, solidify","liquefy, thin, dissolve","Latin 'coagulare', from 'coagulum' (means of curdling)"
coalesce,koh-ah-LES,verb,combine; fuse,The brooks coalesce into one large river.,"merge, combine, fuse","separate, divide, fragment","Latin 'coalescere', from 'co-' (together) + 'alescere' (to grow)"
coalition,koh-ah-LISH-un,noun,partnership; league; union,The Rainbow Coalition united people of all races in a common cause.,"alliance, union, partnership","division, separation, rivalry","French 'coalition', from Latin 'coalescere' (to grow together)"
coda,KOH-dah,noun,concluding section of a musical or literary composition,The piece concluded with a distinctive coda that strikingly brought together various motifs.,"conclusion, finale, ending","introduction, prelude, beginning","Italian 'coda' (tail), from Latin 'cauda'"
coddle,KOD-ul,verb,treat gently; pamper,Don't coddle the children so much; they need a taste of discipline.,"pamper, indulge, mollycoddle","discipline, toughen, neglect",Possibly from 'caudle' (warm drink for invalids)
codicil,KOD-ih-sil,noun,supplement to the body of a will,Miss Havisham kept her lawyers busy drawing up codicils to her already complicated will.,"supplement, addition, amendment","main body, original document","Latin 'codicillus', diminutive of 'codex' (tablet, book)"
codify,KOH-dih-fy,verb,arrange laws or rules as a code; classify,We need to codify the varying rules and regulations of the different health agencies into a national health code.,"systematize, classify, organize","disorganize, scatter, ignore",Latin 'codex' (code of laws)
coercion,koh-ER-shun,noun,use of force to get someone to obey,The inquisitors used both physical and psychological coercion to force Joan of Arc to recant.,"force, compulsion, duress","persuasion, encouragement, freedom","Latin 'coercere' (to restrain), from 'co-' + 'arcere' (to enclose)"
coeval,koh-EE-vul,adjective,living at the same time as; contemporary,"Coeval with the dinosaur, the pterodactyl flourished during the Mesozoic era.","contemporary, coexistent, simultaneous","earlier, later, anachronistic","Latin 'coaevus', from 'co-' (together) + 'aevum' (age)"
cogent,KOH-jent,adjective,convincing,"He had several cogent reasons for going to Harvard, including a full-tuition scholarship.","convincing, compelling, persuasive","unconvincing, weak, flimsy","Latin 'cogentem', from 'cogere' (to drive together, compel)"
cogitate,KOJ-ih-tayt,verb,think over,Cogitate on this problem; the solution will come.,"ponder, deliberate, reflect","act impulsively, ignore, dismiss","Latin 'cogitare' (to think), from 'co-' + 'agitare' (to drive)"
cognate,KOG-nayt,adjective,related linguistically; allied by blood; similar or akin in nature,The English word 'mother' is cognate to the Latin word 'mater'.,"related, akin, kindred","unrelated, foreign, alien","Latin 'cognatus', from 'co-' (together) + 'gnatus' (born)"
cognitive,KOG-nih-tiv,adjective,having to do with knowing or perceiving; related to the mental processes,"Though Jack was emotionally immature, his cognitive development was admirable.","mental, intellectual, perceptual","emotional, physical, instinctive",Latin 'cognoscere' (to know)
cognizance,KOG-nih-zans,noun,knowledge,"During the election campaign, the two candidates were kept in full cognizance of the international situation.","knowledge, awareness, understanding","ignorance, unawareness, oblivion","Old French 'conoissance', from Latin 'cognoscere' (to know)"
cohabit,koh-HAB-it,verb,live together,Many unwed couples who cohabit peacefully for years wind up fighting once they marry.,"live together, share a home","separate, live apart","Latin 'cohabitare', from 'co-' + 'habitare' (to dwell)"
cohere,koh-HEER,verb,stick together,Solids have a greater tendency to cohere than liquids.,"stick together, unite, bond","separate, fragment, dissolve","Latin 'cohaerere', from 'co-' (together) + 'haerere' (to stick)"
cohesion,koh-HEE-zhun,noun,tendency to keep together,The emperor sought to disrupt the cohesion of the free nations.,"unity, solidarity, bond","fragmentation, division, discord","Latin 'cohaesio', from 'cohaerere' (to stick together)"
cohorts,KOH-horts,noun,armed band,Caesar and his Roman cohorts conquered almost all of the known world.,"band, troop, company","individual, lone soldier, deserter","Latin 'cohors' (enclosure, company of soldiers)"
coiffure,kwah-FYOOR,noun,hairstyle,You can make a statement with your choice of coiffure.,"hairstyle, hairdo, arrangement","natural hair, unkempt hair","French 'coiffure', from 'coiffer' (to dress hair)"
coincidence,koh-IN-sih-dens,noun,the chance occurrence of two or more seemingly connected events,Was it just a coincidence that John and she had met at the market for three days running?,"chance, accident, fluke","plan, design, intention",Latin 'co-' (together) + 'incidere' (to fall upon)
colander,KUL-un-der,noun,utensil with perforated bottom used for straining,"Before serving the spaghetti, place it in a colander to drain it.","strainer, sieve, drainer","container, pot, pan","Latin 'colum' (strainer), from 'colare' (to strain)"
collaborate,kah-LAB-oh-rayt,verb,work together,Two writers collaborated in preparing this book.,"cooperate, join forces, partner","compete, work alone, oppose","Latin 'collaborare', from 'co-' + 'laborare' (to work)"
collage,kah-LAHZH,noun,work of art put together from fragments,"Scraps of cloth, paper doilies, and old photographs all went into her collage.","assemblage, mosaic, composition","single medium, pure art","French 'collage' (gluing), from 'coller' (to glue)"
collate,kah-LAYT,verb,examine in order to verify authenticity; arrange in order,They collated the newly found manuscripts to determine their age.,"examine, verify, arrange","scatter, disorder, ignore","Latin 'collatus', past participle of 'conferre' (to bring together)"
collateral,kah-LAT-er-ul,noun,security given for loan,The sum you wish to borrow is so large that it must be secured by collateral.,"security, guarantee, pledge","debt, loan, principal","Latin 'collateralis', from 'co-' + 'lateralis' (lateral)"
collation,kah-LAY-shun,noun,a light meal,Tea sandwiches and cookies were offered at the collation.,"snack, light meal, repast","banquet, feast, full meal",Latin 'collatio' (bringing together)
colloquial,kah-LOH-kwee-ul,adjective,pertaining to conversational or common speech; informal,"Some of the new, colloquial reading passages on standardized tests have a conversational tone.","informal, conversational, vernacular","formal, literary, academic","Latin 'colloquium' (conversation), from 'co-' + 'loqui' (to speak)"
colloquy,KOL-oh-kwee,noun,informal discussion,"I enjoy our colloquies, but I sometimes wish they could be made more formal and more searching.","discussion, conversation, dialogue","lecture, monologue, silence","Latin 'colloquium', from 'co-' + 'loqui' (to speak)"
collusion,kah-LOO-zhun,noun,conspiring in a fraudulent scheme,The swindlers were found guilty of collusion.,"conspiracy, connivance, fraud","innocence, honesty, competition","Latin 'collusio', from 'colludere' (to play together secretly)"
colossal,kah-LOS-ul,adjective,huge,Radio City Music Hall has a colossal stage.,"enormous, gigantic, immense","tiny, miniature, small","From 'Colossus', giant statue at Rhodes; Greek 'kolossos'"
colossus,kah-LOS-us,noun,gigantic statue,The legendary Colossus of Rhodes was one of the Seven Wonders of the World.,"giant, titan, behemoth","dwarf, miniature, pygmy",Greek 'kolossos' (giant statue)
comatose,KOH-mah-tose,adjective,in a coma; extremely sleepy,The long-winded orator soon had his audience in a comatose state.,"unconscious, stuporous, lethargic","alert, conscious, awake",Greek 'koma' (deep sleep)
combustible,kum-BUS-tih-bul,adjective,easily burned,The fire commissioner ordered all combustible materials be kept in safe containers.,"flammable, inflammable, burnable","fireproof, incombustible, flame-resistant","Latin 'combustibilis', from 'comburere' (to burn up)"
comely,KUM-lee,adjective,attractive; agreeable,I would rather have a poor and comely wife than a rich and homely one.,"attractive, handsome, fair","ugly, homely, unattractive","Old English 'cymlic' (beautiful, fitting)"
comestible,kah-MES-tih-bul,noun,something fit to be eaten,The roast turkey and other comestibles made this Thanksgiving dinner particularly memorable.,"food, edible, nourishment","poison, toxin, inedible substance","Late Latin 'comestibilis', from 'comedere' (to eat up)"
comeuppance,kum-UP-uns,noun,rebuke; deserts,"After his earlier rudeness, we were delighted to see him get his comeuppance.","just deserts, retribution, payback","reward, windfall, unearned prize",American English 'come up' + '-ance'; 19th century
comity,KOM-ih-tee,noun,courtesy; civility,A spirit of comity should exist among nations.,"courtesy, civility, harmony","hostility, discourtesy, discord","Latin 'comitas', from 'comis' (courteous)"
commandeer,kom-an-DEER,verb,to draft for military purposes; to take for public use,The policeman commandeered the first car that approached and ordered the driver to go to the nearest hospital.,"conscript, requisition, seize","return, release, restore","Afrikaans 'kommandeer', from French 'commander'"
commemorative,kah-MEM-oh-rah-tiv,adjective,remembering; honoring,"The new commemorative stamp honors the late Martin Luther King, Jr.","memorial, honoring, celebratory","dishonoring, forgetting, ignoring",Latin 'commemorare' (to call to mind)
commensurate,kah-MEN-ser-it,adjective,equal in extent,Your reward will be commensurate with your effort.,"proportionate, equal, corresponding","disproportionate, unequal, excessive","Latin 'commensuratus', from 'com-' + 'mensurare' (to measure)"
commiserate,kah-MIZ-er-ayt,verb,feel or express pity or sympathy for,Her friends commiserated with the widow.,"sympathize, empathize, console","mock, ridicule, ignore","Latin 'commiserari', from 'com-' + 'miserari' (to pity)"
commodious,kah-MOH-dee-us,adjective,spacious and comfortable,"After sleeping in small roadside cabins, they found their hotel suite commodious.","spacious, roomy, comfortable","cramped, confined, uncomfortable","Latin 'commodus' (convenient), from 'com-' + 'modus' (measure)"
communal,kah-MYOO-nul,adjective,held in common; of a group of people,"When they were divorced, they had trouble dividing their communal property.","shared, collective, public","private, individual, personal","French 'communal', from Latin 'communis' (common)"
compatible,kum-PAT-ih-bul,adjective,harmonious; in harmony with,"They were compatible neighbors, never quarreling over unimportant matters.","harmonious, congenial, agreeable","incompatible, antagonistic, conflicting","Medieval Latin 'compatibilis', from 'compati' (to suffer with)"
compelling,kum-PEL-ing,adjective,overpowering; irresistible in effect,The defense attorney's compelling arguments for leniency won over the jury.,"persuasive, forceful, irresistible","weak, unconvincing, feeble","Latin 'compellere' (to drive together, force)"
compendium,kum-PEN-dee-um,noun,"brief, comprehensive summary",This text can serve as a compendium of the tremendous amount of new material in this field.,"summary, digest, synopsis","expansion, elaboration, full text","Latin 'compendium' (a saving), from 'compendere' (to weigh together)"
compensatory,kum-PEN-sah-tor-ee,adjective,making up for; repaying,Can a compensatory education program make up for the inadequate schooling received in earlier years?,"remedial, recompensing, redeeming","punitive, harmful, counterproductive",Latin 'compensare' (to weigh against)
compilation,kom-pih-LAY-shun,noun,listing of statistical information in tabular or book form,The compilation of available scholarships serves a very valuable purpose.,"collection, anthology, compendium","single work, original piece","Latin 'compilatio', from 'compilare' (to plunder, collect)"
compile,kum-PYL,verb,assemble; gather; accumulate,We planned to compile a list of the words most frequently used on the GRE.,"assemble, collect, gather","scatter, disassemble, disperse","Latin 'compilare' (to plunder, pile up)"
complacency,kum-PLAY-sen-see,noun,self-satisfaction; smugness,"Full of complacency about his latest victories, he looked smugly at the row of trophies on his mantelpiece.","smugness, self-satisfaction, contentment","anxiety, dissatisfaction, restlessness",Latin 'complacere' (to please greatly)
